Open,High,Low,Close,Time,ATR,highest,lowest,longStop,longStopPrev,shortStop,shortStopPrev
199.0,199.24,198.34,199.08,2024-04-01 14:15:00,1.8000000000000114,199.08,199.08,197.28,196.49,200.88000000000002,201.49
199.08,199.19,197.77,198.23,2024-04-01 14:30:00,2.839999999999975,198.23,198.23,197.28,197.28,200.88000000000002,200.88000000000002
198.24,198.63,197.88,197.96,2024-04-01 14:45:00,1.5,197.96,197.96,196.46,195.39000000000001,199.46,201.06999999999996
197.96,197.96,196.1,196.41,2024-04-01 15:00:00,3.7200000000000273,196.41,196.41,196.46,196.46,199.46,199.46
196.41,197.05,195.78,196.18,2024-04-01 15:15:00,2.5400000000000205,196.18,196.18,193.64,192.68999999999997,198.72000000000003,200.13000000000002
196.18,197.3,195.31,197.25,2024-04-01 15:30:00,3.980000000000018,197.25,197.25,193.64,193.64,198.72000000000003,198.72000000000003
197.26,197.29,196.16,196.45,2024-04-01 15:45:00,2.259999999999991,196.45,196.45,194.19,193.26999999999998,198.70999999999998,201.23000000000002
196.46,197.86,196.41,197.68,2024-04-01 16:00:00,2.900000000000034,197.68,197.68,194.77999999999997,194.19,198.70999999999998,198.70999999999998
197.67,198.0,197.24,197.46,2024-04-01 16:15:00,1.5199999999999818,197.46,197.46,195.94000000000003,194.77999999999997,198.98,200.58000000000004
197.46,197.87,197.18,197.33,2024-04-01 16:30:00,1.3799999999999955,197.33,197.33,195.95000000000002,195.94000000000003,198.71,198.98
197.32,197.85,196.67,196.67,2024-04-01 16:45:00,2.3600000000000136,196.67,196.67,195.95000000000002,195.95000000000002,198.71,198.71
196.68,197.31,196.6,196.95,2024-04-01 17:00:00,1.420000000000016,196.95,196.95,195.52999999999997,194.30999999999997,198.37,199.03
